vendor,product,asset_type,Risk
dell,edge_gateway_5200_firmware,Other ICS Device,0.4690015343999999
dell,intel_management_engine_firmware_update_utility,Other ICS Device,0.2597616
dell,policy_manager_for_secure_connect_gateway,Other ICS Device,0.37967076000000005
dell,secure_connect_gateway,Other ICS Device,0.5292244944000001
dell,supportassist_client_promanage,Other ICS Device,0.34193698560000013
dell,supportassist_for_business_pcs,Other ICS Device,0.44652323520000015
dell,supportassist_for_home_pcs,Other ICS Device,0.3697239168000001
deltaww,dvp32es200r_firmware,Other ICS Device,0.3794448672000001
deltaww,infrasuite_device_master,Other ICS Device,0.5819101344000001
deltaww,wplsoft,Other ICS Device,0.3235692096000001
devolutions,devolutions_gateway,Other ICS Device,0.38102400000000003
deyeinverter,inverter_firmware,Other ICS Device,0.3041832528
digi,transport_dr64_firmware,Other ICS Device,0.4750746336000001
digi,transport_wr11_firmware,Other ICS Device,0.4147573248000001
digitalcomtech,syrus_4g_iot_telematics_gateway_firmware,Other ICS Device,0.5879049120000001
dinstar,dag2000 16o_firmware,Other ICS Device,0.32080104000000004
dlink,dap 1325_firmware,Other ICS Device,0.5297041008000001
dlink,dap 2622_firmware,Other ICS Device,0.4061232000000001
dlink,dar 7000_firmware,Other ICS Device,0.6045747120000001
dlink,dsl 3782_firmware,Other ICS Device,0.2517570720000001
dolibarr,dolibarr_erp\/crm,Other ICS Device,0.35530911360000006
dominionvoting,imagecast_x,Other ICS Device,0.3395952
domoticz,mydomoathome,Other ICS Device,0.38102400000000003
dpsoft,parsian_bank_gateway_for_woocommerce,Other ICS Device,0.37425659040000003
dreamfoxmedia,payment_gateway_per_product_for_woocommerce,Other ICS Device,0.33507885600000004
dreamfoxmedia,woocommerce_payment_gateway_per_category,Other ICS Device,0.37425659040000003
duitku,duitku_payment_gateway,Other ICS Device,0.36525928320000006
eaton,easy box e4 ac1_firmware,Other ICS Device,0.29386627200000004
eaton,smp_sg 4260_firmware,Other ICS Device,0.27887690880000005
eclipse,hono,Other ICS Device,0.49717614240000013
edgexfoundry,edgex_foundry,SCADA Server,0.53571461328
electronics.jtekt,kostac_plc_programming_software,Other ICS Device,0.34324516800000004
emerson,controlwave_pac_firmware,Other ICS Device,0.3307666320000001
emerson,data_record_ad,Other ICS Device,0.3933625248
emerson,deltav,Other ICS Device,0.32944121280000005
emerson,deltav_distributed_control_system,Other ICS Device,0.3703465584
emerson,deltav_distributed_control_system_sq_controller_firmware,Other ICS Device,0.33584483520000014
emerson,deltav_workstation,Other ICS Device,0.2576420784000001
emerson,dixell_xweb 500_firmware,Other ICS Device,0.6048
emerson,dl8000_firmware,Other ICS Device,0.4716841248000001
emerson,electric\'s_proficy,Other ICS Device,0.39247165440000004
emerson,gc370xa_firmware,Other ICS Device,0.5117212800000002
emerson,openbsi,Other ICS Device,0.30533569920000003
emerson,openenterprise_scada_server,Other ICS Device,0.5694358320000001
emerson,proficy,Other ICS Device,0.37285920000000006
emerson,proficy_machine_edition,Other ICS Device,0.35468072640000003
emerson,roc809_firmware,Other ICS Device,0.4442256000000001
emerson,rosemount_transmitter_interface_software,Other ICS Device,0.37285920000000006
emerson,smart_wireless_gateway_1420_firmware,Other ICS Device,0.38102400000000003
emerson,valvelink,Other ICS Device,0.3702661200000001
emerson,wireless_1410_gateway_firmware,Other ICS Device,0.5085010224000002
emerson,wireless_1420_gateway_firmware,Other ICS Device,0.4242672000000001
emerson,x stream_enhanced_xegp_firmware,Other ICS Device,0.5552490384000002
emerson,xweb300d_evo_firmware,Other ICS Device,0.5825303568000001
ems_project,ems,Other ICS Device,0.4404341088000001
enphase,iq_gateway_firmware,Other ICS Device,0.45753120000000014
epicor,human_capital_management,Other ICS Device,0.5203176048000001
ericsson,evolved_packet_gateway,Other ICS Device,0.4242672000000001
eupago,eupago_gateway_woocommerce,Other ICS Device,0.4475541168000001
express gateway,express gateway_docker_image,Other ICS Device,0.5811290352000001
f5,big ip_access_policy_manager,Other ICS Device,0.4777151904000001
f5,big ip_advanced_firewall_manager,Other ICS Device,0.4762397808
facade,ignition,Other ICS Device,0.6048
fatek,winproladder,Other ICS Device,0.4622262624000001
fernhillsoftware,scada_server,Other ICS Device,0.38908689120000006
filemage,filemage,SCADA Server,0.7356045110400001
fit2cloud,cloudexplorer_lite,Other ICS Device,0.4129471584000001
forcepoint,cloud_security_gateway,Other ICS Device,0.45753120000000014
forcepoint,data_loss_prevention,Other ICS Device,0.38102400000000003
forcepoint,email_security,Other ICS Device,0.49510440000000017
fortinet,forticlient,Other ICS Device,0.3826974816
fortinet,forticlient_emergency_management_server,Other ICS Device,0.3561004944
fortinet,forticlient_endpoint_management_server,Other ICS Device,0.30784320000000004
fortinet,forticlient_enterprise_management_server,Other ICS Device,0.48059373600000005
fortinet,forticlientems,Other ICS Device,0.2495991456000001
fortinet,fortisoar,Other ICS Device,0.5016583152
